produto_filial_id;filial_id;produto_id;dt_inicio;valor;valor_cnpj;valor_compra;ranking
202523;8;258946;2021-04-15 12:51:34.487893;148.00;148.00;;1
215046;96;15045;2020-12-30 11:35:50;370.38;370.38;;1
239931;8;271508;2019-06-10 09:27:16.631708;65.02;65.02;;1
240183;8;271781;2021-02-26 10:15:32.67934;1041.05;1041.05;562.73;1
243468;8;275048;2021-03-08 16:54:06.675247;3900.00;3900.00;;1
244231;8;275810;2020-12-15 10:23:07.751282;100.00;100.00;;1
248454;8;280034;2019-06-27 17:01:34.359373;13.00;13.00;;1
249404;96;280982;2020-12-30 11:36:00;834.17;834.17;;1
249406;8;280988;2021-04-22 14:48:10.999204;132.00;132.00;;1
249611;8;281199;2019-07-15 15:00:19.194417;236.71;236.71;;1
249613;8;281201;2021-03-23 11:57:03;645.26;;358.48;1
249618;8;281204;2019-07-16 14:13:53.362462;35.00;35.00;;1
249629;8;281219;2021-01-15 14:54:15.130107;1089.00;1089.00;;1
249641;8;281226;2019-07-19 10:14:01.927041;229.99;229.99;;1
249651;8;281236;2019-07-23 11:48:38.867358;120.00;120.00;;1
249662;8;281242;2021-04-20 13:11:12.651704;109.00;109.00;;1
249675;96;230355;2020-12-30 11:36:12;237.60;237.60;120.00;1
249684;8;281268;2020-11-10 09:12:54.359223;739.00;739.00;;1
249698;8;281284;2020-05-27 11:05:34.985985;2050.00;2050.00;;1
249705;8;281291;2021-04-28 11:11:56.707328;206.00;206.00;;1
249716;8;281303;2021-01-07 15:37:33.62611;1879.00;1879.00;;1
251996;8;283585;2021-05-06 14:45:36.65211;129.99;129.99;;1
252459;96;284049;2020-12-30 19:42:15;195.20;195.20;102.74;1
253198;8;284786;2020-09-09 10:59:19.98358;126.00;126.00;;1
253234;8;284821;2019-08-28 10:35:43.474395;205.00;205.00;;1
253244;8;284833;2020-11-16 16:48:54.677085;295.00;295.00;;1
253296;8;284877;2020-12-17 22:08:08.11446;18.89;18.89;;1
253298;8;284879;2021-04-08 11:07:06.548284;123.77;123.77;64.83;1
253362;8;284943;2021-03-26 14:54:58.143224;503.50;503.50;265.00;1
314282;8;280921;2019-09-24 09:56:37.799136;2385.00;2385.00;;1
314300;8;285024;2020-01-24 16:29:47.387961;750.00;750.00;;1
314328;8;285018;2019-09-30 11:30:55.145765;708.00;708.00;;1
314357;8;284836;2020-08-27 11:57:18.078875;70.00;70.00;;1
314359;8;285071;2021-04-12 07:54:20.940182;570.91;570.91;;1
314361;8;285073;2020-11-11 12:24:13.555917;427.31;427.31;;1
315635;8;52089;2020-11-12 14:39:05.63823;99.99;99.99;;1
315700;96;286336;2020-12-30 11:36:30;110.48;110.48;;1
315701;96;286337;2020-12-30 11:36:30;527.04;527.04;;1
317206;8;287842;2019-10-11 15:18:38.893913;187.85;187.85;;1
317226;8;287860;2019-10-16 17:15:45.335713;50.00;50.00;;1
317278;96;281297;2020-12-30 12:08:45;155.55;155.55;;1
317293;8;240921;2021-04-12 12:46:16.302446;489.00;489.00;;1
317325;8;287955;2020-05-27 17:28:27.536768;97.00;97.00;;1
